id,sourceTableFile,sourceRowNumberApprox,sectionCode,sectionTitle,itemCode,workElementDescription,unit,manHoursPerUnit
07-16-16.20-0030-three-coats-3-8-inch-thick-sf,fileoutpart170.xlsx,18,07 16 16.20,Cementitious Waterproofing,0030,"three coats, 3/8 inch thick",SF,0.057
07-16-16.20-0040-four-coats-1-2-inch-thick-sf,fileoutpart170.xlsx,19,07 16 16.20,Cementitious Waterproofing,0040,"four coats, 1/2 inch thick",SF,0.089
07-19-19.10-0010-water-based-liquid-roller-applied-sf,fileoutpart170.xlsx,22,07 19 19.10,Silicone Bases Water Repellents,0010,"Water based liquid, roller applied",SF,0.003
07-19-19.10-0020-silicone-or-stearate-sprayed-on-concrete-masonry-units-one-coat-sf,fileoutpart170.xlsx,23,07 19 19.10,Silicone Bases Water Repellents,0020,"Silicone or stearate, sprayed on concrete masonry units, one coat",SF,0.003
07-19-19.10-0030-two-coats-sf,fileoutpart170.xlsx,24,07 19 19.10,Silicone Bases Water Repellents,0030,two coats,SF,0.004
07-21-13.10-0010-minimum-sf,fileoutpart172.xlsx,5,07 21 13.10,"Various materiels, e.g., fiberglass, unfaced or faced; Isocyanurate (4 by 8 sheet) foil faced both sides; perlite; etc.",0010,minimum,SF,0.011
07-21-13.10-0020-average-sf,fileoutpart172.xlsx,6,07 21 13.10,"Various materiels, e.g., fiberglass, unfaced or faced; Isocyanurate (4 by 8 sheet) foil faced both sides; perlite; etc.",0020,average,SF,0.015
07-21-13.10-0030-maximum-sf,fileoutpart172.xlsx,7,07 21 13.10,"Various materiels, e.g., fiberglass, unfaced or faced; Isocyanurate (4 by 8 sheet) foil faced both sides; perlite; etc.",0030,maximum,SF,0.02
07-21-13.13-0010-foam-board-insulation-0010-polystyrene-expanded-1-or-2-inches-thick-sf,fileoutpart172.xlsx,8,07 21 13.13,"Various materiels, e.g., fiberglass, unfaced or faced; Isocyanurate (4 by 8 sheet) foil faced both sides; perlite; etc.",0010,"Foam Board Insulation (0010) Polystyrene, expanded, 1 or 2 inches thick",SF,0.016
07-21-16.20-0010-blanket-insulation-for-walls-0010-batt-insulation-kraft-faced-fiberglass-various-materiels-sf,fileoutpart172.xlsx,9,07 21 16.20,"Various materiels, e.g., fiberglass, unfaced or faced; Isocyanurate (4 by 8 sheet) foil faced both sides; perlite; etc.",0010,"Blanket Insulation for Walls (0010) Batt insulation, kraft-faced fiberglass, various materiels, widths and thicknesses; average",SF,0.009
07-21-26.10-0010-3-1-2-inches-sf,fileoutpart172.xlsx,15,07 21 26.10,"Various materiels, i.e., cellulose, fiberglass, or mineral wool; average for thickness indicated",0010,3 1/2 inches,SF,0.007
07-21-26.10-0020-9-or-10-inches-thick-sf,fileoutpart172.xlsx,16,07 21 26.10,"Various materiels, i.e., cellulose, fiberglass, or mineral wool; average for thickness indicated",0020,9 or 10 inches thick,SF,0.019
07-21-26.10-0030-20-inches-thick-sf,fileoutpart172.xlsx,17,07 21 26.10,"Various materiels, i.e., cellulose, fiberglass, or mineral wool; average for thickness indicated",0030,20 inches thick,SF,0.035
07-21-26.10-0040-masonry-sf,fileoutpart172.xlsx,19,07 21 26.10,"Wall installation, includes drilling and patching from outside, two 1-inch-diameter holes at 16 inches on center, top and middle point of wall, add to above for:",0040,masonry,SF,0.077
07-21-26.10-0050-wood-siding-sf,fileoutpart172.xlsx,20,07 21 26.10,"Wall installation, includes drilling and patching from outside, two 1-inch-diameter holes at 16 inches on center, top and middle point of wall, add to above for:",0050,wood siding,SF,0.039
07-21-26.10-0060-stucco-plaster-sf,fileoutpart172.xlsx,21,07 21 26.10,"Wall installation, includes drilling and patching from outside, two 1-inch-diameter holes at 16 inches on center, top and middle point of wall, add to above for:",0060,stucco/plaster,SF,0.048
07-21-26.10-0020-5-2-inches-thick-attic-sf,fileoutpart172.xlsx,25,07 21 26.10,"(0010) Fibrous/cementitious, finished wall, 1 inch thick attic",0020,5.2 inches thick attic,SF,0.02
07-21-26.10-0030-1-inch-thick-sf,fileoutpart172.xlsx,27,07 21 26.10,"Closed cell, spray polyurethane foam, 2 pounds per CF density",0030,1 inch thick,SF,0.005
07-21-26.10-0040-4-inches-thick-sf,fileoutpart172.xlsx,28,07 21 26.10,"Closed cell, spray polyurethane foam, 2 pounds per CF density",0040,4 inches thick,SF,0.021
